timestep,total_waiting,total_vehicles,avg_speed_network,ev_active,incident_active
0,0,1,13.887,0,0
5,0,6,13.881,0,0
10,0,11,13.878,0,0
15,0,16,13.875,0,0
20,0,20,13.877,0,0
25,0,25,13.867,0,0
30,0,29,13.863,0,0
35,2,36,13.847,0,0
40,0,39,13.84,0,0
45,0,43,13.838,0,0
50,0,49,13.835,0,0
55,0,53,13.83,0,0
60,0,60,13.832,0,0
65,0,63,13.834,0,0
70,1,72,13.79,0,0
75,0,72,13.768,0,0
80,0,76,13.779,0,0
85,0,82,13.784,0,0
90,0,87,13.799,0,0
95,0,91,13.799,0,0
100,0,95,13.792,0,0
105,3,106,13.747,0,0
110,0,105,13.736,0,0
115,0,108,13.748,0,0
120,0,110,13.759,0,0
125,0,111,13.775,0,0
130,0,117,13.784,0,0
135,2,120,13.768,0,0
140,14,129,13.712,0,0
145,24,126,13.668,0,0
150,37,129,13.636,0,0
155,54,135,13.583,0,0
160,79,137,13.525,0,0
165,100,140,13.501,0,0
170,112,140,13.495,0,0
175,119,140,13.489,0,0
180,110,135,13.509,0,0
185,104,144,13.545,0,0
190,103,145,13.543,0,0
195,106,147,13.543,0,0
200,87,140,13.55,0,0
205,90,147,13.533,0,0
210,106,147,13.508,0,0
215,110,143,13.503,0,0
220,94,147,13.531,0,0
225,94,143,13.535,0,0
230,96,144,13.535,0,0
235,91,141,13.538,0,0
240,92,145,13.522,0,0
245,113,146,13.507,0,0
250,116,142,13.504,0,0
255,102,146,13.529,0,0
260,108,144,13.534,0,0
265,116,144,13.532,0,0
270,110,140,13.537,0,0
275,105,145,13.51,0,0
280,123,145,13.503,0,0
285,125,141,13.499,0,0
290,112,145,13.529,0,0
295,111,144,13.524,0,0
300,106,139,13.534,0,0
305,72,136,13.561,0,0
310,66,139,13.561,0,0
315,72,140,13.583,0,0
320,60,136,13.578,0,0
325,31,138,13.569,0,0
330,22,136,13.595,0,0
335,12,135,13.614,0,0
340,4,135,13.66,0,0
345,12,139,13.664,0,0
350,9,135,13.627,0,0
355,10,137,13.654,0,0
360,13,138,13.604,0,0
365,20,136,13.608,0,0
370,14,131,13.617,0,0
375,9,131,13.631,0,0
380,16,137,13.601,0,0
385,19,134,13.55,0,0
390,23,136,13.575,0,0
395,29,135,13.545,0,0
400,30,138,13.599,0,0
405,25,138,13.631,0,0
410,20,137,13.633,0,0
415,20,145,13.602,0,0
420,21,141,13.616,0,0
425,23,143,13.642,0,0
430,27,143,13.622,0,0
435,28,147,13.614,0,0
440,28,140,13.64,0,0
445,20,144,13.654,0,0
450,22,146,13.625,0,0
455,17,137,13.539,0,0
460,10,140,13.604,0,0
465,10,145,13.568,0,0
470,18,147,13.526,0,0
475,25,148,13.539,0,0
480,40,149,13.517,0,0
485,56,156,13.365,0,0
490,77,158,13.3,0,0
495,93,162,13.252,0,0
500,109,163,13.358,0,0
505,119,160,13.352,0,0
510,115,153,13.374,0,0
515,111,161,13.47,0,0
520,101,157,13.45,0,0
525,94,161,13.452,0,0
530,93,153,13.502,0,0
535,109,161,13.38,0,0
540,124,161,13.357,0,0
545,119,157,13.283,0,0
550,105,161,13.362,0,0
555,97,155,13.37,0,0
560,90,159,13.384,0,0
565,92,155,13.421,0,0
